customer_id,customer_name,gender,email,phone,city,state,country,postal_code,customer_segment,loyalty_tier,signup_date,last_updated
C00001,Ishita Sharma 0001,Female,ishita.sharma.0001.c00001@yahoo.com,-7919950393,Bengaluru,Karnataka,India,458332,Consumer,Silver,25-09-2023,13-03-2024 00:00
C00002,Anjali Gupta 0002,Female,anjali.gupta.0002.c00002@gmail.com,-9842964352,Kolkata,West Bengal,India,453123,Consumer,Silver,14-12-2024,24-07-2025 00:00
C00003,Simran Nair 0003,Female,simran.nair.0003.c00003@example.com,-9622487275,Jaipur,Rajasthan,India,398768,Corporate,Gold,02-05-2023,28-11-2024 00:00
C00004,Khushi Joshi 0004,Female,khushi.joshi.0004.c00004@example.com,-8210200261,Bengaluru,Karnataka,India,915922,Home Office,Silver,21-06-2024,12-04-2025 00:00
C00005,Khushi Nair 0005,Female,khushi.nair.0005.c00005@gmail.com,-8224336245,Kolkata,West Bengal,India,187949,Corporate,Gold,30-07-2022,06-09-2025 00:00
C00006,Nidhi Sharma 0006,Female,nidhi.sharma.0006.c00006@example.com,-9156104045,Chennai,Tamil Nadu,India,492127,Consumer,Gold,20-04-2022,01-01-2026 00:00
C00007,Ishita Mishra 0007,Female,ishita.mishra.0007.c00007@gmail.com,-9791559794,Delhi,Delhi,India,451577,Consumer,Silver,15-10-2023,01-01-2026 00:00
C00008,Anjali Malhotra 0008,Female,anjali.malhotra.0008.c00008@example.com,-8926728578,Bhopal,Madhya Pradesh,India,745239,Consumer,Silver,12-10-2022,01-01-2026 00:00
C00009,Priya Joshi 0009,Female,priya.joshi.0009.c00009@example.com,-7477543835,Mumbai,Maharashtra,India,913875,Corporate,Silver,16-12-2024,18-03-2025 00:00
C00010,Simran Pandey 0010,Female,simran.pandey.0010.c00010@gmail.com,-7476130919,Ahmedabad,Gujarat,India,977330,Corporate,Platinum,25-07-2024,01-01-2026 00:00
C00011,Varun Sethi 0011,Male,varun.sethi.0011.c00011@example.com,-7006718690,Kolkata,West Bengal,India,744674,Corporate,Silver,20-08-2023,01-05-2025 00:00
C00012,Rahul Mehta 0012,Male,rahul.mehta.0012.c00012@example.com,-8603321467,Hyderabad,Telangana,India,365971,Home Office,Silver,31-03-2022,15-09-2022 00:00
C00013,Yash Kapoor 0013,Male,yash.kapoor.0013.c00013@example.com,-7190420231,Bhopal,Madhya Pradesh,India,469412,Home Office,Gold,12-11-2023,12-11-2025 00:00
C00014,Dev Kumar 0014,Male,dev.kumar.0014.c00014@gmail.com,-8260326176,Noida,Uttar Pradesh,India,311383,Consumer,Silver,26-07-2024,01-01-2026 00:00
C00015,Neha Patel 0015,Female,neha.patel.0015.c00015@example.com,-8087974259,Jaipur,Rajasthan,India,138399,Home Office,Silver,26-03-2024,25-04-2025 00:00
C00016,Meera Dubey 0016,Female,meera.dubey.0016.c00016@example.com,-8718080352,Noida,Uttar Pradesh,India,879414,Corporate,Gold,24-01-2024,01-09-2024 00:00
C00017,Ishita Chauhan 0017,Female,ishita.chauhan.0017.c00017@example.com,-7338988807,Noida,Uttar Pradesh,India,551524,Home Office,Silver,19-06-2022,06-05-2024 00:00
C00018,Neha Tiwari 0018,Female,neha.tiwari.0018.c00018@gmail.com,-9588240098,Pune,Maharashtra,India,852524,Corporate,Platinum,20-09-2023,19-11-2025 00:00
C00019,Tanya Dubey 0019,Female,tanya.dubey.0019.c00019@gmail.com,-9882712759,Jaipur,Rajasthan,India,768480,Home Office,Gold,28-04-2022,30-07-2022 00:00
C00020,Kriti Verma 0020,Female,kriti.verma.0020.c00020@yahoo.com,-9770953380,Lucknow,Uttar Pradesh,India,484123,Corporate,Gold,18-05-2022,01-01-2026 00:00
C00021,Aman Tiwari 0021,Male,aman.tiwari.0021.c00021@outlook.com,-8906704625,Hyderabad,Telangana,India,900152,Consumer,Gold,30-01-2024,24-08-2025 00:00
C00022,Neha Pandey 0022,Female,neha.pandey.0022.c00022@yahoo.com,-7111296852,Pune,Maharashtra,India,871411,Consumer,Gold,27-05-2023,03-07-2025 00:00
C00023,Anjali Sethi 0023,Female,anjali.sethi.0023.c00023@gmail.com,-7582949018,Jaipur,Rajasthan,India,994253,Consumer,Gold,14-02-2023,12-09-2025 00:00
C00024,Neha Tiwari 0024,Female,neha.tiwari.0024.c00024@outlook.com,-8288304023,Bengaluru,Karnataka,India,992717,Consumer,Platinum,13-05-2022,21-06-2024 00:00
C00025,Aditya Kumar 0025,Male,aditya.kumar.0025.c00025@gmail.com,-8550038680,Mumbai,Maharashtra,India,680933,Home Office,Gold,08-10-2024,23-12-2025 00:00
C00026,Arjun Singh 0026,Male,arjun.singh.0026.c00026@example.com,-9257845570,Pune,Maharashtra,India,530749,Corporate,Platinum,26-03-2024,01-01-2026 00:00
C00027,Abhishek Reddy 0027,Male,abhishek.reddy.0027.c00027@example.com,-9000738262,Jaipur,Rajasthan,India,813145,Consumer,Gold,01-06-2022,03-08-2025 00:00
C00028,Tanya Chauhan 0028,Female,tanya.chauhan.0028.c00028@yahoo.com,-8306204891,Delhi,Delhi,India,272655,Consumer,Silver,12-09-2022,19-09-2024 00:00
C00029,Priya Joshi 0029,Female,priya.joshi.0029.c00029@yahoo.com,-9684450501,Jaipur,Rajasthan,India,417534,Home Office,Platinum,17-07-2023,01-01-2026 00:00
C00030,Harsh Kapoor 0030,Male,harsh.kapoor.0030.c00030@yahoo.com,-9829236050,Noida,Uttar Pradesh,India,754813,Home Office,Platinum,12-11-2022,06-03-2023 00:00
C00031,Karan Pandey 0031,Male,karan.pandey.0031.c00031@yahoo.com,-9457310489,Ahmedabad,Gujarat,India,536822,Home Office,Platinum,27-06-2023,01-01-2026 00:00
C00032,Ayesha Pandey 0032,Female,ayesha.pandey.0032.c00032@outlook.com,-9074232109,Bhopal,Madhya Pradesh,India,356773,Home Office,Gold,17-08-2023,23-12-2024 00:00
C00033,Vikas Yadav 0033,Male,vikas.yadav.0033.c00033@example.com,-8994763805,Hyderabad,Telangana,India,313933,Corporate,Platinum,01-05-2024,16-04-2025 00:00
C00034,Nidhi Mehta 0034,Female,nidhi.mehta.0034.c00034@gmail.com,-8370592225,Lucknow,Uttar Pradesh,India,353480,Consumer,Silver,29-01-2024,02-06-2025 00:00
C00035,Yash Verma 0035,Male,yash.verma.0035.c00035@example.com,-8066312623,Pune,Maharashtra,India,267457,Corporate,Platinum,26-02-2024,07-10-2024 00:00
C00036,Divya Malhotra 0036,Female,divya.malhotra.0036.c00036@gmail.com,-7386757804,Pune,Maharashtra,India,512344,Home Office,Silver,15-10-2024,04-03-2025 00:00
C00037,Vikas Patel 0037,Male,vikas.patel.0037.c00037@outlook.com,-9305069136,Hyderabad,Telangana,India,108574,Consumer,Platinum,21-08-2024,15-12-2025 00:00
C00038,Ishita Mehta 0038,Female,ishita.mehta.0038.c00038@example.com,-7219720506,Bengaluru,Karnataka,India,697983,Home Office,Silver,03-04-2022,09-06-2025 00:00
C00039,Shreya Chauhan 0039,Female,shreya.chauhan.0039.c00039@gmail.com,-7552604943,Hyderabad,Telangana,India,201377,Corporate,Silver,27-07-2023,19-03-2025 00:00
C00040,Aditya Bansal 0040,Male,aditya.bansal.0040.c00040@yahoo.com,-7194576345,Kolkata,West Bengal,India,140804,Consumer,Platinum,02-04-2024,30-08-2025 00:00
C00041,Abhishek Reddy 0041,Male,abhishek.reddy.0041.c00041@outlook.com,-8687726990,Ahmedabad,Gujarat,India,746447,Home Office,Gold,15-10-2023,16-04-2025 00:00
C00042,Khushi Sharma 0042,Female,khushi.sharma.0042.c00042@gmail.com,-8789026747,Bengaluru,Karnataka,India,712056,Corporate,Platinum,10-11-2023,01-01-2026 00:00
C00043,Khushi Dubey 0043,Female,khushi.dubey.0043.c00043@gmail.com,-9506213304,Mumbai,Maharashtra,India,603787,Consumer,Platinum,12-04-2023,17-06-2025 00:00
C00044,Rahul Agarwal 0044,Male,rahul.agarwal.0044.c00044@yahoo.com,-8773650079,Bengaluru,Karnataka,India,824042,Home Office,Platinum,07-05-2024,22-12-2024 00:00
C00045,Khushi Chauhan 0045,Female,khushi.chauhan.0045.c00045@yahoo.com,-8974239729,Chennai,Tamil Nadu,India,659024,Corporate,Platinum,05-10-2023,26-09-2025 00:00
C00046,Khushi Joshi 0046,Female,khushi.joshi.0046.c00046@outlook.com,-7965796462,Mumbai,Maharashtra,India,412071,Corporate,Platinum,26-07-2023,31-07-2025 00:00
C00047,Khushi Nair 0047,Female,khushi.nair.0047.c00047@outlook.com,-7523445202,Pune,Maharashtra,India,701334,Home Office,Silver,15-07-2023,18-03-2025 00:00
C00048,Arjun Nair 0048,Male,arjun.nair.0048.c00048@example.com,-7919066271,Ahmedabad,Gujarat,India,311883,Home Office,Gold,10-06-2023,27-11-2023 00:00
C00049,Varun Mishra 0049,Male,varun.mishra.0049.c00049@gmail.com,-9739950985,Kolkata,West Bengal,India,344146,Consumer,Silver,23-12-2024,13-09-2025 00:00
C00050,Harsh Saxena 0050,Male,harsh.saxena.0050.c00050@example.com,-9794042313,Noida,Uttar Pradesh,India,309144,Corporate,Gold,01-09-2024,27-08-2025 00:00
C00051,Nitin Tripathi 0051,Male,nitin.tripathi.0051.c00051@yahoo.com,-8794802225,Delhi,Delhi,India,978292,Home Office,Silver,18-03-2022,22-07-2025 00:00
C00052,Pooja Kapoor 0052,Female,pooja.kapoor.0052.c00052@outlook.com,-8222182891,Bengaluru,Karnataka,India,576419,Home Office,Platinum,08-08-2022,21-01-2024 00:00
C00053,Harsh Bhardwaj 0053,Male,harsh.bhardwaj.0053.c00053@example.com,-7060491057,Hyderabad,Telangana,India,872399,Corporate,Gold,11-06-2023,06-01-2024 00:00
C00054,Neha Singh 0054,Female,neha.singh.0054.c00054@yahoo.com,-7603923320,Chennai,Tamil Nadu,India,600646,Corporate,Silver,15-07-2022,01-01-2026 00:00
C00055,Priya Mehta 0055,Female,priya.mehta.0055.c00055@outlook.com,-8415729804,Mumbai,Maharashtra,India,416613,Home Office,Platinum,03-07-2024,01-01-2026 00:00
C00056,Priya Pandey 0056,Female,priya.pandey.0056.c00056@gmail.com,-9868119452,Bengaluru,Karnataka,India,223967,Corporate,Platinum,29-04-2023,17-07-2024 00:00
C00057,Saurabh Pandey 0057,Male,saurabh.pandey.0057.c00057@yahoo.com,-7941150072,Pune,Maharashtra,India,240057,Corporate,Gold,23-01-2024,07-01-2026 00:00
C00058,Varun Tiwari 0058,Male,varun.tiwari.0058.c00058@example.com,-9268486185,Ahmedabad,Gujarat,India,837952,Corporate,Silver,17-06-2022,01-01-2026 00:00
C00059,Vikas Tripathi 0059,Male,vikas.tripathi.0059.c00059@yahoo.com,-7706681606,Kolkata,West Bengal,India,444056,Home Office,Gold,19-02-2023,01-01-2026 00:00
C00060,Manish Sethi 0060,Male,manish.sethi.0060.c00060@example.com,-9192045355,Ahmedabad,Gujarat,India,567122,Consumer,Gold,28-09-2024,17-07-2025 00:00
C00061,Vikas Tripathi 0061,Male,vikas.tripathi.0061.c00061@gmail.com,-8700586669,Delhi,Delhi,India,366817,Consumer,Platinum,24-09-2023,07-06-2025 00:00
C00062,Tanya Nair 0062,Female,tanya.nair.0062.c00062@outlook.com,-7296434870,Bhopal,Madhya Pradesh,India,595002,Home Office,Gold,11-05-2022,28-07-2025 00:00
C00063,Shreya Agarwal 0063,Female,shreya.agarwal.0063.c00063@gmail.com,-9932304423,Chennai,Tamil Nadu,India,793939,Home Office,Silver,09-02-2024,09-07-2024 00:00
C00064,Ritika Chauhan 0064,Female,ritika.chauhan.0064.c00064@outlook.com,-7097647368,Lucknow,Uttar Pradesh,India,412856,Corporate,Platinum,02-04-2023,01-04-2025 00:00
C00065,Aman Dubey 0065,Male,aman.dubey.0065.c00065@gmail.com,-9835527396,Noida,Uttar Pradesh,India,539605,Home Office,Silver,20-08-2022,15-11-2023 00:00
C00066,Karan Agarwal 0066,Male,karan.agarwal.0066.c00066@yahoo.com,-7189995223,Ahmedabad,Gujarat,India,521805,Home Office,Silver,10-04-2022,02-09-2022 00:00
C00067,Anjali Mishra 0067,Female,anjali.mishra.0067.c00067@outlook.com,-8017494990,Bhopal,Madhya Pradesh,India,416422,Consumer,Gold,16-10-2023,11-01-2025 00:00
C00068,Vikas Tripathi 0068,Male,vikas.tripathi.0068.c00068@example.com,-9387360346,Ahmedabad,Gujarat,India,619696,Consumer,Platinum,25-12-2022,02-01-2026 00:00
C00069,Simran Saxena 0069,Female,simran.saxena.0069.c00069@example.com,-7789754101,Lucknow,Uttar Pradesh,India,891062,Home Office,Platinum,07-09-2023,24-05-2024 00:00
C00070,Aman Agarwal 0070,Male,aman.agarwal.0070.c00070@example.com,-9393528294,Delhi,Delhi,India,655736,Corporate,Gold,25-04-2024,10-02-2025 00:00
C00071,Arjun Agarwal 0071,Male,arjun.agarwal.0071.c00071@yahoo.com,-7221348051,Bengaluru,Karnataka,India,381502,Corporate,Platinum,09-07-2022,01-01-2026 00:00
C00072,Rohit Joshi 0072,Male,rohit.joshi.0072.c00072@example.com,-7897171688,Ahmedabad,Gujarat,India,449138,Home Office,Silver,21-03-2023,04-12-2025 00:00
C00073,Saurabh Bhardwaj 0073,Male,saurabh.bhardwaj.0073.c00073@outlook.com,-8703521606,Hyderabad,Telangana,India,350956,Home Office,Gold,12-05-2023,04-07-2024 00:00
